Hierarchy,Title,Project,Releases,Team,Assignee,Sprint,Target start date,Target end date,Due date,Story points,Parent,Priority,Labels,Components,Issue key,Issue status,Progress (%),Progress completed (sp),Progress remaining (sp),Progress (%) issue count (IC),To do IC,In progress IC,Done IC,Total IC,RAG
Story,[Alpha Squad] Sample work item 1001,Perception & Parking SW Group,,Alpha Squad,user8,PMD_25PI4_Sprint1 [COMPLETED],1/Nov/25,8/Nov/25,,5,,Could (3),data-pipeline,Alpha Squad,AIOP-1001,Done,100,5,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1002,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint1 [COMPLETED],30/Oct/25,7/Nov/25,,,,Must (1),frontend,Alpha Squad,AIOP-1002,Done,100,,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1003,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint1 [COMPLETED],31/Oct/25,7/Nov/25,,3,,Could (3),tech-debt,Alpha Squad,AIOP-1003,Done,100,3,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1004,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint1 [ACTIVE],3/Nov/25,9/Nov/25,,,,Could (3),infra,Alpha Squad,AIOP-1004,Implementing,8,,,27,1,1,0,1,Amber
Story,[Alpha Squad] Sample work item 1005,Perception & Parking SW Group,,Alpha Squad,user3,PMD_25PI4_Sprint1 [ACTIVE],1/Nov/25,10/Nov/25,,5,,Won't (4),tech-debt,Alpha Squad,AIOP-1005,Blocked,11,,5,6,1,1,0,1,
Story,[Alpha Squad] Sample work item 1006,Perception & Parking SW Group,,Alpha Squad,user6,PMD_25PI4_Sprint1 [COMPLETED],7/Nov/25,18/Nov/25,,13,,Must (1),data-pipeline,Alpha Squad,AIOP-1006,Done,100,13,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1007,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint1 [ACTIVE],9/Nov/25,16/Nov/25,,8,,Could (3),data-pipeline,Alpha Squad,AIOP-1007,Funnel,62,,8,2,1,0,0,1,Red
Story,[Alpha Squad] Sample work item 1008,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],5/Nov/25,13/Nov/25,,2,,Should (2),backend,Alpha Squad,AIOP-1008,Done,100,2,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1009,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint1 [ACTIVE],8/Nov/25,15/Nov/25,,5,,Should (2),data-pipeline,Alpha Squad,AIOP-1009,Funnel,8,,5,4,1,0,0,1,
Story,[Alpha Squad] Sample work item 1010,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint2 [COMPLETED],14/Nov/25,21/Nov/25,,5,,Must (1),data-pipeline,Alpha Squad,AIOP-1010,Done,100,5,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1011,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint2 [COMPLETED],18/Nov/25,1/Dec/25,,5,,Should (2),frontend,Alpha Squad,AIOP-1011,Done,100,5,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1012,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint2 [ACTIVE],13/Nov/25,22/Nov/25,,,,Should (2),backend,Alpha Squad,AIOP-1012,In Progress,7,,,74,1,1,0,1,
Story,[Alpha Squad] Sample work item 1013,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint2 [COMPLETED],16/Nov/25,24/Nov/25,,,,Must (1),backend,Alpha Squad,AIOP-1013,Done,100,,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1014,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint2 [ACTIVE],19/Nov/25,29/Nov/25,,3,,Must (1),infra,Alpha Squad,AIOP-1014,Implementing,68,,3,27,1,1,0,1,Green
Story,[Alpha Squad] Sample work item 1015,Perception & Parking SW Group,,Alpha Squad,user2,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],24/Nov/25,3/Dec/25,,5,,Should (2),infra,Alpha Squad,AIOP-1015,Done,100,5,0,100,0,0,1,1,
Story,[Alpha Squad] Sample work item 1016,Perception & Parking SW Group,,Alpha Squad,user5,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],23/Nov/25,28/Nov/25,,,,Should (2),infra,Alpha Squad,AIOP-1016,Done,100,,0,100,0,0,1,1,Green
Story,[Alpha Squad] Sample work item 1017,Perception & Parking SW Group,,Alpha Squad,user1,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],23/Nov/25,2/Dec/25,,1,,Could (3),data-pipeline,Alpha Squad,AIOP-1017,Done,100,1,0,100,0,0,1,1,Amber
Story,[Alpha Squad] Sample work item 1019,Perception & Parking SW Group,,Alpha Squad,user4,PMD_25PI4_Sprint2 [ACTIVE],19/Nov/25,25/Nov/25,,2,,Must (1),infra,Alpha Squad,AIOP-1019,Funnel,24,,2,51,1,0,0,1,Amber
Story,[Alpha Squad] Sample work item 1020,Perception & Parking SW Group,,Alpha Squad,user7,PMD_25PI4_Sprint2 [ACTIVE],20/Nov/25,30/Nov/25,,5,,Could (3),,Alpha Squad,AIOP-1020,Blocked,40,,5,55,1,1,0,1,
