Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Created,Resolved,Component/s,Labels,Custom field (Story Points),Custom field (Blocked),Custom field (Flagged),Custom field (Age),Sprint,Priority,Custom field (Epic Link),Outward issue link (Dependency),Inward issue link (Dependency)
[Alpha Squad] Sample work item 1001,AIOP-1001,10001001,Story,Done,AIOP,Perception & Parking SW Group,4/Nov/25 10:43 AM,11/Nov/25 10:43 AM,Alpha Squad,data-pipeline,5,,,,PMD_25PI4_Sprint1 [COMPLETED],Must (1),AIOP-111,,
[Alpha Squad] Sample work item 1002,AIOP-1002,10001002,Task,Done,AIOP,Perception & Parking SW Group,3/Nov/25 11:44 AM,6/Nov/25 11:44 AM,Alpha Squad,frontend,,,,,PMD_25PI4_Sprint1 [COMPLETED],Could (3),AIOP-113,AIOP-1000,
[Alpha Squad] Sample work item 1003,AIOP-1003,10001003,Bug,Done,AIOP,Perception & Parking SW Group,7/Nov/25 2:36 PM,10/Nov/25 2:36 PM,Alpha Squad,tech-debt,3,,,,PMD_25PI4_Sprint1 [COMPLETED],Could (3),AIOP-110,,
[Alpha Squad] Sample work item 1004,AIOP-1004,10001004,Bug,Implementing,AIOP,Perception & Parking SW Group,3/Nov/25 11:34 AM,,Alpha Squad,infra,,,,190,PMD_25PI4_Sprint1 [ACTIVE],Should (2),AIOP-187,,
[Alpha Squad] Sample work item 1005,AIOP-1005,10001005,Task,Blocked,AIOP,Perception & Parking SW Group,7/Nov/25 2:13 PM,,Alpha Squad,tech-debt,5,,,185,PMD_25PI4_Sprint1 [ACTIVE],Could (3),AIOP-117,,
[Alpha Squad] Sample work item 1006,AIOP-1006,10001006,Story,Done,AIOP,Perception & Parking SW Group,11/Nov/25 3:38 PM,12/Nov/25 3:38 PM,Alpha Squad,data-pipeline,13,,,,PMD_25PI4_Sprint1 [COMPLETED],Must (1),AIOP-187,,
[Alpha Squad] Sample work item 1007,AIOP-1007,10001007,Story,Funnel,AIOP,Perception & Parking SW Group,11/Nov/25 4:00 PM,,Alpha Squad,data-pipeline,8,,,181,PMD_25PI4_Sprint1 [ACTIVE],Must (1),AIOP-180,,
[Alpha Squad] Sample work item 1008,AIOP-1008,10001008,Story,Done,AIOP,Perception & Parking SW Group,12/Nov/25 1:15 PM,21/Nov/25 1:15 PM,Alpha Squad,backend,2,,,,PMD_25PI4_Sprint1 [COMPLETED] + Sprint2 [COMPLETED],Won't (4),AIOP-108,,
[Alpha Squad] Sample work item 1009,AIOP-1009,10001009,Task,Funnel,AIOP,Perception & Parking SW Group,11/Nov/25 1:25 PM,,Alpha Squad,data-pipeline,5,,,181,PMD_25PI4_Sprint1 [ACTIVE],Should (2),AIOP-128,AIOP-1000,
[Alpha Squad] Sample work item 1010,AIOP-1010,10001010,Story,Done,AIOP,Perception & Parking SW Group,20/Nov/25 12:34 PM,27/Nov/25 12:34 PM,Alpha Squad,data-pipeline,5,,,,PMD_25PI4_Sprint2 [COMPLETED],Should (2),AIOP-200,,
[Alpha Squad] Sample work item 1011,AIOP-1011,10001011,Story,Done,AIOP,Perception & Parking SW Group,19/Nov/25 10:15 AM,29/Nov/25 10:15 AM,Alpha Squad,frontend,5,,,,PMD_25PI4_Sprint2 [COMPLETED],Could (3),AIOP-159,,
[Alpha Squad] Sample work item 1012,AIOP-1012,10001012,Story,In Progress,AIOP,Perception & Parking SW Group,20/Nov/25 4:13 PM,,Alpha Squad,backend,,,,172,PMD_25PI4_Sprint2 [ACTIVE],Could (3),AIOP-200,,
[Alpha Squad] Sample work item 1013,AIOP-1013,10001013,Bug,Done,AIOP,Perception & Parking SW Group,17/Nov/25 2:03 PM,18/Nov/25 2:03 PM,Alpha Squad,backend,,,,,PMD_25PI4_Sprint2 [COMPLETED],Must (1),AIOP-123,AIOP-1001,
[Alpha Squad] Sample work item 1014,AIOP-1014,10001014,Bug,Implementing,AIOP,Perception & Parking SW Group,20/Nov/25 5:20 PM,,Alpha Squad,infra,3,,,172,PMD_25PI4_Sprint2 [ACTIVE],Won't (4),AIOP-116,,
[Alpha Squad] Sample work item 1015,AIOP-1015,10001015,Story,Done,AIOP,Perception & Parking SW Group,26/Nov/25 10:56 AM,3/Dec/25 10:56 AM,Alpha Squad,infra,5,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Must (1),AIOP-185,,
[Alpha Squad] Sample work item 1016,AIOP-1016,10001016,Story,Done,AIOP,Perception & Parking SW Group,28/Nov/25 12:45 PM,3/Dec/25 12:45 PM,Alpha Squad,infra,,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Must (1),AIOP-111,,
[Alpha Squad] Sample work item 1017,AIOP-1017,10001017,Bug,Done,AIOP,Perception & Parking SW Group,28/Nov/25 3:35 PM,11/Dec/25 3:35 PM,Alpha Squad,data-pipeline,1,,,,PMD_25PI4_Sprint2 [COMPLETED] + Sprint3 [COMPLETED],Could (3),AIOP-174,,
[Alpha Squad] Sample work item 1018,AIOP-1018,10001018,Story,Blocked,AIOP,Perception & Parking SW Group,25/Nov/25 10:22 AM,,Alpha Squad,tech-debt,2,,,168,PMD_25PI4_Sprint2 [ACTIVE],Should (2),AIOP-120,,
[Alpha Squad] Sample work item 1019,AIOP-1019,10001019,Story,Funnel,AIOP,Perception & Parking SW Group,26/Nov/25 3:51 PM,,Alpha Squad,infra,2,,,166,PMD_25PI4_Sprint2 [ACTIVE],Must (1),AIOP-148,,
[Alpha Squad] Sample work item 1020,AIOP-1020,10001020,Story,Blocked,AIOP,Perception & Parking SW Group,24/Nov/25 1:22 PM,,Alpha Squad,,5,,,168,PMD_25PI4_Sprint2 [ACTIVE],Must (1),AIOP-114,,
[Alpha Squad] Sample work item 1021,AIOP-1021,10001021,Bug,Implementing,AIOP,Perception & Parking SW Group,28/Nov/25 10:24 AM,,Alpha Squad,tech-debt,5,,,165,PMD_25PI4_Sprint2 [ACTIVE],Should (2),AIOP-146,,
[Alpha Squad] Sample work item 1022,AIOP-1022,10001022,Bug,Done,AIOP,Perception & Parking SW Group,3/Dec/25 5:19 PM,7/Dec/25 5:19 PM,Alpha Squad,tech-debt,3,,,,PMD_25PI4_Sprint3 [COMPLETED],Should (2),AIOP-124,,
[Alpha Squad] Sample work item 1023,AIOP-1023,10001023,Story,Done,AIOP,Perception & Parking SW Group,4/Dec/25 2:29 PM,10/Dec/25 2:29 PM,Alpha Squad,data-pipeline,5,,,,PMD_25PI4_Sprint3 [COMPLETED],Should (2),AIOP-184,AIOP-1016,
[Alpha Squad] Sample work item 1024,AIOP-1024,10001024,Story,In Progress,AIOP,Perception & Parking SW Group,1/Dec/25 12:30 PM,,Alpha Squad,tech-debt,5,,,161,PMD_25PI4_Sprint3 [ACTIVE],Won't (4),AIOP-163,,
